,title,runtime_1,runtime_2,video_id,gold,silver
201501,--- Day 1: Not Quite Lisp ---,6.604194641113281e-05,0.0002460479736328,,87682,17867
201502,--- Day 2: I Was Told There Would Be No Math ---,0.0027179718017578,0.001345157623291,,60863,6075
201503,--- Day 3: Perfectly Spherical Houses in a Vacuum ---,0.0039348602294921,0.0045258998870849,,50547,4041
201504,--- Day 4: The Ideal Stocking Stuffer ---,0.7769360542297363,16.151334285736084,,43670,1464
201505,--- Day 5: Doesn't He Have Intern-Elves For This? ---,0.0027179718017578,0.0243690013885498,,37714,6477
201506,--- Day 6: Probably a Fire Hazard ---,0.0390379428863525,0.0649299621582031,,33565,1366
201507,--- Day 7: Some Assembly Required ---,0.0004549026489257,0.0005819797515869,,23495,804
201508,--- Day 8: Matchsticks ---,0.0023269653320312,0.0001411437988281,,21625,1220
201509,--- Day 9: All in a Single Night ---,0.928917646408081,0.9297993183135986,,19278,356
201510,"--- Day 10: Elves Look, Elves Say ---",0.3235061168670654,4.926421642303467,,20361,705
201511,--- Day 11: Corporate Policy ---,0.4150252342224121,1.7428860664367676,,17856,200
201512,--- Day 12: JSAbacusFramework.io ---,0.0028159618377685,0.0018060207366943,,15957,2385
201513,--- Day 13: Knights of the Dinner Table ---,1.649362087249756,19.94362497329712,,15300,190
201514,--- Day 14: Reindeer Olympics ---,4.38690185546875e-05,0.0222771167755126,,15444,983
201515,--- Day 15: Science for Hungry People ---,0.0072357654571533,0.0076291561126708,,13459,178
201516,--- Day 16: Aunt Sue ---,0.0011329650878906,0.00093674659729,,13776,456
201517,--- Day 17: No Such Thing as Too Much ---,0.0650529861450195,0.0673918724060058,,12918,219
201518,--- Day 18: Like a GIF For Your Yard ---,7.659775972366333,7.736070871353149,,12394,159
201519,--- Day 19: Medicine for Rudolph ---,0.0032119750976562,0.047365665435791,,9107,2819
201520,--- Day 20: Infinite Elves and Infinite Houses ---,1.4432451725006104,1.8889870643615725,,10158,640
201521,--- Day 21: RPG Simulator 20XX ---,0.0008513927459716,0.0010490417480468,,9583,207
201522,--- Day 22: Wizard Simulator 20XX ---,5.901197671890259,6.203397989273071,,7311,200
201523,--- Day 23: Opening the Turing Lock ---,0.0005772113800048,0.0007638931274414,,8921,43
201524,--- Day 24: It Hangs in the Balance ---,0.0868949890136718,0.0210402011871337,,7655,106
201525,--- Day 25: Let It Snow ---,5.920357942581177,,,6635,2523
201601,--- Day 1: No Time for a Taxicab ---,0.0003340244293212,0.0002758502960205,,24959,7086
201602,--- Day 2: Bathroom Security ---,0.0002551078796386,0.0003437995910644,,22177,2770
201603,--- Day 3: Squares With Three Sides ---,0.0028300285339355,0.0031318664550781,,20825,2432
201604,--- Day 4: Security Through Obscurity ---,0.0085330009460449,0.0037348270416259,,17662,969
201605,--- Day 5: How About a Nice Game of Chess? ---,13.324863195419312,42.7114098072052,,16447,719
201606,--- Day 6: Signals and Noise ---,0.0429179668426513,0.0484001636505126,,17229,653
201607,--- Day 7: Internet Protocol Version 7 ---,0.0365979671478271,0.0265939235687255,,13870,1470
201608,--- Day 8: Two-Factor Authentication ---,0.0015099048614501,0.0011851787567138,,13265,219
201609,--- Day 9: Explosives in Cyberspace ---,0.0001769065856933,0.0023550987243652,,10707,1809
201610,--- Day 10: Balance Bots ---,0.0022201538085937,0.0038127899169921,,10053,159
201611,--- Day 11: Radioisotope Thermoelectric Generators ---,0.5635089874267578,3.174161195755005,,6188,353
201612,--- Day 12: Leonardo's Monorail ---,0.4203379154205322,12.219669818878174,,8850,114
201613,--- Day 13: A Maze of Twisty Little Cubicles ---,0.0005700588226318,0.0003449916839599,,7423,307
201614,--- Day 14: One-Time Pad ---,0.1603550910949707,48.03111600875855,,7264,282
201615,--- Day 15: Timing is Everything ---,0.000201940536499,3.0040740966796875e-05,,7303,50
201616,--- Day 16: Dragon Checksum ---,,,,7312,212
201617,--- Day 17: Two Steps Forward ---,,,,6371,136
201618,--- Day 18: Like a Rogue ---,,,,6978,46
201619,--- Day 19: An Elephant Named Joseph ---,,,,6095,1055
201620,--- Day 20: Firewall Rules ---,,,,6631,269
201621,--- Day 21: Scrambled Letters and Hash ---,,,,6002,315
201622,--- Day 22: Grid Computing ---,,,,4814,1336
201623,--- Day 23: Safe Cracking ---,,,,5136,277
201624,--- Day 24: Air Duct Spelunking ---,,,,4798,26
201625,--- Day 25: Clock Signal ---,,,,4184,588
201701,--- Day 1: Inverse Captcha ---,0.0005788803100585,0.000291109085083,,53548,10335
201702,--- Day 2: Corruption Checksum ---,9.703636169433594e-05,0.000303030014038,,45090,7573
201703,--- Day 3: Spiral Memory ---,0.0007557868957519,0.0002369880676269,,27592,9292
